Left_2D,Right_2D,Point_3d,Pred_Left,Pred_Right
"(288.0, 417.0)","(988.0, 434.0)","(568.8995971679688, -517.6702880859375, 291.6107482910156)","(292.53, 419.15)","(988.3, 434.56)"
"(292.0, 422.0)","(986.0, 429.0)","(569.5558471679688, -516.9207153320312, 292.546875)","(293.8, 419.32)","(986.81, 434.41)"
"(292.0, 422.0)","(986.0, 429.0)","(569.5558471679688, -516.9207153320312, 292.546875)","(295.05, 419.4)","(985.73, 434.06)"
"(293.0, 421.0)","(984.0, 429.0)","(569.4774169921875, -516.6468505859375, 292.44134521484375)","(296.07, 419.34)","(984.29, 433.87)"
"(296.0, 419.0)","(982.0, 429.0)","(569.8197631835938, -516.2303466796875, 292.48480224609375)","(299.21, 419.36)","(982.4, 433.62)"
"(298.0, 419.0)","(980.0, 429.0)","(569.9940795898438, -515.7636108398438, 292.5802917480469)","(301.16, 419.76)","(979.81, 433.79)"
"(297.0, 418.0)","(979.0, 429.0)","(569.6032104492188, -515.8348388671875, 292.31005859375)","(302.19, 419.84)","(978.59, 433.78)"
"(302.0, 422.0)","(977.0, 429.0)","(570.563232421875, -514.7090454101562, 293.09197998046875)","(303.53, 419.87)","(977.44, 433.5)"
"(300.0, 421.0)","(976.0, 430.0)","(569.9713745117188, -514.8224487304688, 292.6688537597656)","(305.3, 422.1)","(976.11, 433.5)"
"(304.0, 421.0)","(975.0, 430.0)","(570.7295532226562, -514.25341796875, 293.0650634765625)","(307.36, 422.09)","(975.22, 433.49)"
"(304.0, 418.0)","(973.0, 430.0)","(570.3688354492188, -514.2528076171875, 292.67401123046875)","(307.7, 420.04)","(973.54, 433.43)"
"(304.0, 422.0)","(973.0, 428.0)","(570.435302734375, -514.068115234375, 293.0839538574219)","(309.0, 420.21)","(972.29, 433.56)"
"(307.0, 421.0)","(971.0, 429.0)","(570.8243408203125, -513.5003662109375, 293.1727600097656)","(310.4, 420.34)","(971.1, 433.9)"
"(312.0, 421.0)","(970.0, 429.0)","(571.8033447265625, -512.8189697265625, 293.6837463378906)","(311.32, 420.34)","(969.43, 433.61)"
"(307.0, 419.0)","(969.0, 429.0)","(570.49169921875, -513.4188842773438, 292.8659362792969)","(311.78, 420.26)","(968.63, 433.55)"
"(311.0, 422.0)","(968.0, 429.0)","(571.3291625976562, -512.6066284179688, 293.51177978515625)","(313.47, 422.55)","(967.94, 433.72)"
"(313.0, 422.0)","(966.0, 430.0)","(571.51953125, -512.0693969726562, 293.5666198730469)","(315.24, 422.53)","(966.88, 433.72)"
"(315.0, 422.0)","(965.0, 429.0)","(571.8038330078125, -511.7933044433594, 293.7656555175781)","(315.84, 421.5)","(965.35, 433.87)"
"(316.0, 424.0)","(964.0, 429.0)","(571.9412841796875, -511.398193359375, 293.97808837890625)","(316.83, 421.71)","(963.48, 434.08)"
"(316.0, 423.0)","(963.0, 429.0)","(571.774658203125, -511.35693359375, 293.8246765136719)","(318.6, 420.74)","(962.92, 434.13)"
"(322.0, 423.0)","(961.0, 430.0)","(572.8524169921875, -510.370849609375, 294.3403015136719)","(319.7, 420.73)","(961.36, 433.84)"
"(321.0, 419.0)","(960.0, 429.0)","(572.3611450195312, -510.7539978027344, 293.85931396484375)","(321.68, 423.08)","(960.27, 433.83)"
"(319.0, 421.0)","(958.0, 430.0)","(571.7120971679688, -510.503173828125, 293.6169128417969)","(322.58, 423.01)","(959.24, 433.92)"
